array_index,focal_cusip,score_year
1,589433,2008
2,64110L,2008
3,747525,2008
4,887317,2008
5,888706,2008
6,918866,2008
7,98975F,2008
8,040047,2009
9,16938U,2009
10,23257D,2009
11,26746E,2009
12,452439,2009
13,532457,2009
14,717081,2009
15,78440P,2009
16,87151H,2009
17,V7780T,2009
18,009158,2011
19,056752,2011
20,15117V,2011
21,20030N,2011
22,25659T,2011
23,26153C,2011
24,30303M,2011
25,35952H,2011
26,369604,2011
27,414549,2011
28,460690,2011
29,584688,2011
30,58933Y,2011
31,64110L,2011
32,64110W,2011
33,681919,2011
34,743187,2011
35,78440P,2011
36,835699,2011
37,842587,2011
38,87929J,2011
39,902494,2011
40,921659,2011
41,92337F,2011
42,023135,2012
43,038505,2012
44,20030N,2012
45,254687,2012
46,26153C,2012
47,263534,2012
48,345370,2012
49,45245E,2012
50,460690,2012
51,552953,2012
52,835699,2012
53,852061,2012
54,879382,2012
55,887317,2012
56,88732J,2012
57,896047,2012
58,90184L,2012
59,00184X,2013
60,037612,2013
61,037833,2013
62,054536,2013
63,05874B,2013
64,138006,2013
65,14170T,2013
66,163092,2013
67,17275R,2013
68,20030N,2013
69,231082,2013
70,30303M,2013
71,315293,2013
72,37951D,2013
73,40163P,2013
74,413160,2013
75,56624R,2013
76,62855J,2013
77,654624,2013
78,800677,2013
79,855030,2013
80,881624,2013
81,88732J,2013
82,90130A,2013
83,92343V,2013
