candidate_cusip,firm_name,sic2,brokerage_L2,persistence_factor,sustained_share,n_current_ties,adjusted_brokerage_L2,median_tenure_yrs,tenure_layer_used,n_ties_for_tenure,z_tenure_sic_L2,w_tenure_smooth,dep_risk,w_redundancy,durable_value,score_durable_rent
1F1999,Via Licensing Corp,67,1.0,0.5,0.0,2,0.5,1.5,L2,2,3.0,0.9525741268224334,0.0,1.0,0.9525741268224334,0.9525741268224334
92335C,Vera Bradley Inc,31,1.0,0.5,0.0,7,0.5,1.0,L2,4,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
7F4419,Flipkart Pvt Ltd,59,1.0,0.5,0.0,7,0.5,1.0,L2,2,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
91475M,UCLA,82,1.0,0.7,0.4,5,0.7,1.0,L2,6,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
47810P,Johns Hopkins University,82,1.0,0.625,0.25,4,0.625,1.0,L2,12,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
126650,CVS Health Corp,59,1.0,0.875,0.75,4,0.875,1.0,L2,4,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
556269,Steven Madden Ltd,31,1.0,0.5,0.0,3,0.5,1.0,L2,7,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
91510C,University of Texas System,82,1.0,0.5,0.0,3,0.5,1.0,L2,3,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
229669,Cubic Corp,82,1.0,0.5,0.0,3,0.5,1.0,L2,2,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
6F7534,Generation Next Fran Brand,59,1.0,0.5,0.0,2,0.5,1.0,L2,2,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
9A9749,Vapor Town LLC,59,1.0,0.5,0.0,2,0.5,1.0,L2,2,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
66459Q,Northeastern University,82,1.0,1.0,,1,1.0,1.0,L2,2,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
962149,Weyco Group Inc,31,1.0,1.0,,1,1.0,1.0,L2,2,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
854403,Stanford University,82,1.0,1.0,,1,1.0,1.0,L2,28,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
676220,Office Depot Inc,59,1.0,1.0,,1,1.0,1.0,L2,11,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
978097,Wolverine World Wide Inc,31,1.0,1.0,,1,1.0,1.0,L2,7,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
690370,Overstock.com Inc,59,1.0,1.0,,1,1.0,1.0,L2,4,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
49245E,Kerry Group Ltd,42,1.0,1.0,,1,1.0,1.0,L2,4,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
773104,Rockefeller University,82,1.0,1.0,,1,1.0,1.0,L2,6,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
13036M,California Institute of Tech,82,1.0,1.0,,1,1.0,1.0,L2,4,1.0,0.7310585786300049,0.0,1.0,0.7310585786300049,0.7310585786300049
