year,total_predicted_log_mv_cost,total_in_degree,n_partners,mean_per_partner_cost
1995,125.13434988189303,7990,4836,0.025875589305602364
1996,122.67601986991708,8262,5023,0.024422858823395795
1997,139.70987493297616,8863,5365,0.02604098321211112
1998,167.47236537343787,9398,5747,0.029140832673297
1999,211.5036557879226,9929,6116,0.03458202351012469
2000,246.2215796832242,10084,6169,0.039912721621530915
2001,265.53133861906815,10035,6147,0.04319689907582042
2002,270.59834706004847,9274,5826,0.04644667817714529
2003,254.6381398411062,8519,5448,0.04673974666686972
2004,206.48878463756716,7405,4908,0.042071879510506754
2005,155.87613315668912,6574,4592,0.033945150948756345
2006,139.61423855531032,6345,4595,0.030383947454909754
2007,136.0515449792058,6388,4750,0.028642430521938062
2008,134.88454747510616,6134,4654,0.028982498383134114
2009,128.57592552821748,5484,4195,0.030649803463222283
2010,114.80778877780732,4506,3498,0.03282098021092262
2011,106.11147952738976,3784,2970,0.03572777088464302
2012,98.87043890353064,3319,2603,0.03798326504169444
2013,88.06407978165822,2914,2302,0.038255464718357175
2014,96.661159042589,3233,2574,0.03755289784094367
2015,102.04613104840537,3286,2620,0.03894890498030739
2016,112.83628805581719,3545,2808,0.04018386326774116
2017,118.51108557086438,3690,2939,0.04032360856443157
