focal_cusip,n_top_picks,saturated_share,single_tie_share,median_n_ties,max_n_ties,mean_sustained_share,fraction_with_persistence_signal
17253X,20,1.0,0.0,3.0,4,1.0,1.0
452334,20,1.0,0.0,3.0,4,1.0,1.0
372917,20,1.0,0.0,3.0,3,1.0,1.0
M81865,20,1.0,0.0,3.0,4,1.0,1.0
75971J,20,1.0,0.0,3.0,4,1.0,1.0
59163F,20,1.0,0.0,3.0,3,1.0,1.0
635017,20,1.0,0.0,3.0,4,1.0,1.0
674001,20,1.0,0.0,3.0,4,1.0,1.0
M0854Q,20,1.0,0.0,3.0,3,1.0,1.0
747316,20,1.0,0.0,3.0,3,1.0,1.0
337756,20,1.0,0.0,3.0,4,1.0,1.0
350384,20,1.0,0.0,3.0,3,1.0,1.0
511637,20,1.0,0.0,3.0,3,1.0,1.0
931427,20,1.0,0.0,3.0,4,1.0,1.0
559079,20,1.0,0.0,3.0,3,1.0,1.0
208368,20,1.0,0.0,3.0,3,1.0,1.0
63563D,20,1.0,0.0,3.0,3,1.0,1.0
922814,20,1.0,0.0,3.0,4,1.0,1.0
948585,20,1.0,0.0,3.0,4,1.0,1.0
542312,20,1.0,0.0,3.0,3,1.0,1.0
45631G,20,1.0,0.0,3.0,3,1.0,1.0
846247,20,1.0,0.0,3.0,4,1.0,1.0
578592,20,1.0,0.0,3.0,4,1.0,1.0
989859,20,1.0,0.0,3.0,4,1.0,1.0
086579,20,1.0,0.0,3.0,4,1.0,1.0
743459,20,1.0,0.0,3.0,4,1.0,1.0
140909,20,1.0,0.0,3.0,4,1.0,1.0
74348X,20,1.0,0.0,3.0,3,1.0,1.0
749084,20,1.0,0.0,3.0,4,1.0,1.0
784933,20,1.0,0.0,3.0,3,1.0,1.0
294273,20,1.0,0.0,3.0,3,1.0,1.0
905581,20,1.0,0.0,3.0,4,1.0,1.0
896686,20,1.0,0.0,3.0,3,1.0,1.0
23283R,20,1.0,0.0,3.0,4,1.0,1.0
957674,20,1.0,0.0,3.0,4,1.0,1.0
913903,20,1.0,0.0,3.0,4,1.0,1.0
87874R,20,1.0,0.0,3.0,4,1.0,1.0
87960M,20,1.0,0.0,3.0,3,1.0,1.0
05534B,20,1.0,0.0,3.0,3,1.0,1.0
981809,20,1.0,0.0,3.0,3,1.0,1.0
151895,20,1.0,0.0,3.0,3,1.0,1.0
81370G,20,1.0,0.0,3.0,4,1.0,1.0
93041P,20,1.0,0.0,3.0,4,1.0,1.0
170032,20,1.0,0.0,3.0,4,1.0,1.0
501337,20,1.0,0.0,3.0,3,1.0,1.0
379355,20,1.0,0.0,3.0,4,1.0,1.0
167250,20,1.0,0.0,3.0,4,1.0,1.0
64111Q,20,1.0,0.0,3.0,4,1.0,1.0
808796,20,1.0,0.0,3.0,3,1.0,1.0
03759P,20,1.0,0.0,3.0,4,1.0,1.0
351128,20,1.0,0.0,3.0,3,1.0,1.0
89376R,20,1.0,0.0,3.0,4,1.0,1.0
705323,20,1.0,0.0,3.0,4,1.0,1.0
266354,20,1.0,0.0,3.0,3,1.0,1.0
64128F,20,1.0,0.0,3.0,3,1.0,1.0
127072,20,1.0,0.0,3.0,4,1.0,1.0
40171V,20,1.0,0.0,3.0,3,1.0,1.0
912325,20,1.0,0.0,3.0,4,1.0,1.0
872443,20,1.0,0.0,3.0,4,1.0,1.0
74587V,20,1.0,0.0,3.0,3,1.0,1.0
371924,20,1.0,0.0,3.0,4,1.0,1.0
84649R,20,1.0,0.0,3.0,3,1.0,1.0
75615P,20,1.0,0.0,3.0,4,1.0,1.0
566219,20,1.0,0.0,3.0,4,1.0,1.0
86269H,20,1.0,0.0,3.0,4,1.0,1.0
694327,20,1.0,0.0,3.0,4,1.0,1.0
479167,20,1.0,0.0,3.0,3,1.0,1.0
45326F,20,1.0,0.0,3.0,4,1.0,1.0
786693,20,1.0,0.0,3.0,3,1.0,1.0
35803R,20,1.0,0.0,3.0,4,1.0,1.0
045080,20,1.0,0.0,3.0,4,1.0,1.0
42218Q,20,1.0,0.0,3.0,4,1.0,1.0
125946,20,1.0,0.0,3.0,4,1.0,1.0
826919,20,1.0,0.0,3.0,4,1.0,1.0
808188,20,1.0,0.0,3.0,3,1.0,1.0
632554,20,1.0,0.0,3.0,4,1.0,1.0
516540,20,1.0,0.0,3.0,4,1.0,1.0
29265W,20,1.0,0.0,3.0,3,1.0,1.0
895818,20,1.0,0.0,3.0,3,1.0,1.0
300867,20,1.0,0.0,3.0,3,1.0,1.0
285666,20,1.0,0.0,3.0,4,1.0,1.0
62458M,20,1.0,0.0,3.0,3,1.0,1.0
433538,20,1.0,0.0,3.0,3,1.0,1.0
205937,20,1.0,0.0,3.0,4,1.0,1.0
437373,20,1.0,0.0,3.0,3,1.0,1.0
162672,20,1.0,0.0,3.0,4,1.0,1.0
359678,20,1.0,0.0,3.0,3,1.0,1.0
868433,20,1.0,0.0,3.0,3,1.0,1.0
00162H,20,1.0,0.0,3.0,3,1.0,1.0
018142,20,1.0,0.0,3.0,4,1.0,1.0
800677,20,1.0,0.0,3.0,3,1.0,1.0
131910,20,1.0,0.0,3.0,3,1.0,1.0
M15332,20,1.0,0.0,3.0,4,1.0,1.0
700666,20,1.0,0.0,3.0,4,1.0,1.0
018490,20,1.0,0.0,3.0,4,1.0,1.0
668074,20,1.0,0.0,3.0,4,1.0,1.0
13957Q,20,1.0,0.0,3.0,4,1.0,1.0
45964K,20,1.0,0.0,3.0,4,1.0,1.0
69364P,20,1.0,0.0,3.0,3,1.0,1.0
17252U,20,1.0,0.0,3.0,3,1.0,1.0
04516Q,20,1.0,0.0,3.0,4,1.0,1.0
426281,20,1.0,0.0,3.0,3,1.0,1.0
55336V,20,1.0,0.0,3.0,3,1.0,1.0
571157,20,1.0,0.0,3.0,3,1.0,1.0
743737,20,1.0,0.0,3.0,4,1.0,1.0
046390,20,1.0,0.0,3.0,4,1.0,1.0
171796,20,1.0,0.0,3.0,4,1.0,1.0
446413,20,1.0,0.0,3.0,4,1.0,1.0
03822W,20,1.0,0.0,3.0,3,1.0,1.0
92769L,20,1.0,0.0,3.0,4,1.0,1.0
930783,20,1.0,0.0,3.0,3,1.0,1.0
26861P,20,1.0,0.0,3.0,3,1.0,1.0
293571,20,1.0,0.0,3.0,4,1.0,1.0
582266,20,1.0,0.0,3.0,4,1.0,1.0
599903,20,1.0,0.0,3.0,3,1.0,1.0
316869,20,1.0,0.0,3.0,4,1.0,1.0
89685K,20,1.0,0.0,3.0,3,1.0,1.0
573083,20,1.0,0.0,3.0,3,1.0,1.0
N6596X,20,1.0,0.0,3.0,3,1.0,1.0
810022,20,1.0,0.0,3.0,4,1.0,1.0
042764,20,1.0,0.0,3.0,4,1.0,1.0
879433,20,1.0,0.0,3.0,4,1.0,1.0
04315D,20,1.0,0.0,3.0,4,1.0,1.0
62936A,20,1.0,0.0,3.0,4,1.0,1.0
42221H,20,1.0,0.0,3.0,3,1.0,1.0
823901,20,1.0,0.0,3.0,4,1.0,1.0
949470,20,1.0,0.0,3.0,4,1.0,1.0
090572,20,1.0,0.0,3.0,3,1.0,1.0
343468,20,1.0,0.0,3.0,4,1.0,1.0
518081,20,1.0,0.0,3.0,3,1.0,1.0
695072,20,1.0,0.0,3.0,4,1.0,1.0
M52020,20,1.0,0.0,3.0,4,1.0,1.0
125165,20,1.0,0.0,3.0,3,1.0,1.0
761640,20,1.0,0.0,3.0,4,1.0,1.0
86732Y,20,1.0,0.0,3.0,4,1.0,1.0
438516,20,1.0,0.0,3.0,4,1.0,1.0
595094,20,1.0,0.0,3.0,3,1.0,1.0
561232,20,1.0,0.0,3.0,3,1.0,1.0
156913,20,1.0,0.0,3.0,4,1.0,1.0
90138A,20,1.0,0.0,3.0,3,1.0,1.0
55354G,20,1.0,0.0,3.0,3,1.0,1.0
05156V,20,1.0,0.0,3.0,3,1.0,1.0
268817,20,1.0,0.0,3.0,4,1.0,1.0
44107P,20,1.0,0.0,3.0,3,1.0,1.0
71715W,20,1.0,0.0,3.0,3,1.0,1.0
42223C,20,1.0,0.0,3.0,3,1.0,1.0
784741,20,1.0,0.0,3.0,4,1.0,1.0
20009T,20,1.0,0.0,3.0,3,1.0,1.0
746144,20,1.0,0.0,3.0,4,1.0,1.0
862683,20,1.0,0.0,3.0,4,1.0,1.0
002121,20,1.0,0.0,3.0,4,1.0,1.0
705536,20,1.0,0.0,3.0,4,1.0,1.0
225270,20,1.0,0.0,3.0,3,1.0,1.0
210371,20,1.0,0.0,3.0,4,1.0,1.0
05379B,20,1.0,0.0,3.0,4,1.0,1.0
091736,20,1.0,0.0,3.0,4,1.0,1.0
412822,20,1.0,0.0,3.0,4,1.0,1.0
303094,20,1.0,0.0,3.0,3,1.0,1.0
