focal_sic2,n_picks,n_focal_firms,single_tie_share,median_n_ties,mean_sustained_share,saturated_share
73,26880,1344,0.0,3.0,1.0,1.0
28,14280,714,0.0,3.0,1.0,1.0
36,11340,567,0.0,3.0,1.0,1.0
38,8320,416,0.0,3.0,1.0,1.0
35,7440,372,0.0,3.0,1.0,1.0
48,6020,301,0.0,3.0,1.0,1.0
67,4400,220,0.0,3.0,1.0,1.0
13,4120,206,0.0,3.0,1.0,1.0
87,4020,201,0.0,3.0,1.0,1.0
49,3800,190,0.0,3.0,1.0,1.0
60,3280,164,0.0,3.0,1.0,1.0
37,2460,123,0.0,3.0,1.0,1.0
80,2400,120,0.0,3.0,1.0,1.0
50,2280,114,0.0,3.0,1.0,1.0
20,2280,114,0.0,3.0,1.0,1.0
10,2260,113,0.0,3.0,1.0,1.0
63,2200,110,0.0,3.0,1.0,1.0
59,1780,89,0.0,3.0,1.0,1.0
62,1660,83,0.0,3.0,1.0,1.0
33,1380,69,0.0,3.0,1.0,1.0
27,1320,66,0.0,3.0,1.0,1.0
78,1240,62,0.0,3.0,1.0,1.0
51,1180,59,0.0,3.0,1.0,1.0
70,1160,58,0.0,3.0,1.0,1.0
61,1140,57,0.0,3.0,1.0,1.0
39,1120,56,0.0,3.0,1.0,1.0
34,1020,51,0.0,3.0,1.0,1.0
58,1000,50,0.0,3.0,1.0,1.0
30,1000,50,0.0,3.0,1.0,1.0
23,900,45,0.0,3.0,1.0,1.0
79,900,45,0.0,3.0,1.0,1.0
45,720,36,0.0,3.0,1.0,1.0
26,640,32,0.0,3.0,1.0,1.0
65,640,32,0.0,3.0,1.0,1.0
15,620,31,0.0,3.0,1.0,1.0
54,500,25,0.0,3.0,1.0,1.0
22,480,24,0.0,3.0,1.0,1.0
53,480,24,0.0,3.0,1.0,1.0
47,460,23,0.0,3.0,1.0,1.0
32,460,23,0.0,3.0,1.0,1.0
29,460,23,0.0,3.0,1.0,1.0
57,420,21,0.0,3.0,1.0,1.0
64,420,21,0.0,3.0,1.0,1.0
82,400,20,0.0,3.0,1.0,1.0
31,380,19,0.0,3.0,1.0,1.0
24,380,19,0.0,3.0,1.0,1.0
17,340,17,0.0,3.0,1.0,1.0
42,340,17,0.0,3.0,1.0,1.0
56,340,17,0.0,3.0,1.0,1.0
75,320,16,0.0,3.0,1.0,1.0
44,320,16,0.0,3.0,1.0,1.0
16,300,15,0.0,3.0,1.0,1.0
25,280,14,0.0,3.0,1.0,1.0
12,280,14,0.0,3.0,1.0,1.0
55,240,12,0.0,3.0,1.0,1.0
40,240,12,0.0,3.0,1.0,1.0
72,240,12,0.0,3.0,1.0,1.0
46,220,11,0.0,3.0,1.0,1.0
14,200,10,0.0,3.0,1.0,1.0
01,160,8,0.0,3.0,1.0,1.0
21,160,8,0.0,3.0,1.0,1.0
52,140,7,0.0,3.0,1.0,1.0
02,100,5,0.0,3.0,1.0,1.0
41,100,5,0.0,3.0,1.0,1.0
83,100,5,0.0,3.0,1.0,1.0
07,80,4,0.0,3.0,1.0,1.0
08,60,3,0.0,3.0,1.0,1.0
95,60,3,0.0,3.0,1.0,1.0
