focal_cusip,focal_name,focal_sic2,focal_top_rd,n_picks,share_dep_observed,mean_w_tenure,mean_w_redundancy,mean_score,top1_name,top1_score,top1_n_ties
747525,Qualcomm Inc,36,False,20,0.3,0.6135529104807363,0.9720303216060353,0.5953336247485529,Office Depot Inc,0.6588527728081284,11
478160,Johnson & Johnson,28,False,20,0.15,0.6009966021696334,0.9885224751942827,0.5937836967277024,Stanford University,0.6960497030800041,28
57777K,MaxCyte Inc,28,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
00163U,AMAG Pharmaceuticals Inc,28,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
594918,Microsoft Corp,73,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
53569P,Linedata Services SA,73,False,20,0.35,0.6052820636320486,0.963793832176599,0.5822306654457693,Office Depot Inc,0.6588527728081284,11
00342P,AccuWeather Inc,73,False,20,0.35,0.6052820636320486,0.963793832176599,0.5822306654457693,Office Depot Inc,0.6588527728081284,11
037612,Apollo Global Management LLC,67,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
49735V,Kirkbi A/S,67,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
003881,Acacia Research Corp,67,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
2F9287,Trianni Inc,87,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
4F2613,Vision2Marketing Inc.,87,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
00900Q,Aimia Inc,87,False,20,0.35,0.6052820636320486,0.963793832176599,0.5822306654457693,Office Depot Inc,0.6588527728081284,11
90130A,21st Century Fox Inc,48,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
60773Y,MobiTV Inc,48,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
00164V,AMC Networks Inc,48,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
883556,Thermo Fisher Scientific Inc,38,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
4F4172,Kfx Medical Corp,38,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
00654S,Adaptive Tech Grp Inc,38,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
369604,General Electric Co,36,False,20,0.1,0.6108937191581034,0.9941764533584247,0.6072203847027227,Stanford University,0.6960497030800041,28
023135,Amazon.Com Inc,59,True,20,0.35,0.6019812267944772,0.963793832176599,0.5789298286081979,Office Depot Inc,0.6588527728081284,11
