year,compustat_cost,non_compustat_cost,compustat_share,n_total_partners,n_compustat_partners
1995,40.87237126137829,84.26197862051474,0.32662791072119945,4836,1144
1996,39.46763681305032,83.20838305686675,0.32172250823674364,5023,1240
1997,46.456504034240766,93.2533708987354,0.3325212627706353,5365,1387
1998,57.06542649144061,110.40693888199729,0.340745330515834,5747,1516
1999,77.45029864325517,134.05335714466744,0.3661889358589412,6116,1672
2000,94.13474042126876,152.08683926195545,0.38231718171241363,6169,1701
2001,103.72667034321587,161.8046682758523,0.39063814795895857,6147,1701
2002,104.23245758046403,166.3658894795845,0.38519251397102505,5826,1568
2003,98.58838425064441,156.0497555904618,0.38717053271031354,5448,1427
2004,77.50276589086208,128.98601874670504,0.37533644273656963,4908,1199
2005,56.421355940418394,99.45477721627073,0.3619627636240037,4592,1089
2006,49.462523380922356,90.15171517438799,0.35427993514663625,4595,1039
2007,48.469424737828675,87.58212024137713,0.3562578046815769,4750,1078
2008,45.28138207499503,89.60316540011112,0.3357047409997206,4654,1031
2009,42.488148559089076,86.08777696912841,0.33045181968971754,4195,962
2010,38.08827297954422,76.7195157982631,0.33175687281337823,3498,833
2011,32.763558666937,73.34792086045277,0.30876544943923795,2970,715
2012,29.73970592051696,69.1307329830137,0.30079471933501206,2603,600
2013,26.6020426781171,61.462037103541135,0.30207597404154907,2302,537
2014,29.19741104625678,67.46374799633222,0.30205939319838254,2574,601
2015,29.210971402747017,72.83515964565835,0.28625261048741624,2620,590
2016,33.92592202398204,78.91036603183515,0.3006649953532658,2808,632
2017,35.5466614426437,82.96442412822068,0.29994376704437803,2939,644
