year,n_active_sic2,hhi,top3_share,top10_share,leading_sic2,leading_sic2_share
1995,72,0.039107062870068,0.2078670777103187,0.5404682967754728,36,0.08000571920891301
1996,72,0.03834575204208242,0.20413696623935818,0.5423836278138673,36,0.07358427502387038
1997,72,0.038590294704673574,0.21474491907658688,0.5467869360670607,36,0.07359057471365094
1998,73,0.038702224113228594,0.22085929988667016,0.5455649465743778,73,0.08186361458315713
1999,74,0.044271371597407655,0.2523050151106365,0.5651251144791455,73,0.12157922798363438
2000,75,0.051916175601910884,0.28528859534179596,0.5861339920624093,73,0.1535504375690211
2001,75,0.053477189439733515,0.288796938959036,0.5961270438590873,73,0.15760502946402502
2002,75,0.05749406434109586,0.3039985482186764,0.6037086380322757,73,0.17120412675183572
2003,76,0.06449734129311448,0.32724319839475335,0.6202182009092927,73,0.1921090251850993
2004,76,0.0670030330643392,0.3390052993206053,0.6328382248564813,73,0.19681340552678778
2005,74,0.06223783707837644,0.3346532658939581,0.637319453736293,73,0.17372892409123888
2006,71,0.06565283544975374,0.34223140103287064,0.6407090424235282,73,0.18575026701706873
2007,69,0.06412166088649034,0.3397637180336753,0.6358433229150362,73,0.17950949369732597
2008,69,0.058792437120999415,0.32639924001378867,0.6142737071679376,73,0.16125732225217249
2009,70,0.05648513396104591,0.3217528500069179,0.606784712556373,73,0.15385097833072903
2010,69,0.053488079380911525,0.3111070467298749,0.5992297476101348,73,0.14136826581455045
2011,68,0.04957963503236159,0.29259096189378564,0.5945591496884609,73,0.12116715298100521
2012,71,0.04581736997715456,0.268876520067453,0.5740113737542923,73,0.10478181533904529
2013,72,0.04384069419198981,0.2568218916866078,0.5623409276826538,67,0.1068529572538088
2014,71,0.0444588575919082,0.27172808784981745,0.5587829497555523,67,0.10535334162958848
2015,73,0.045521806564680425,0.2780524071021817,0.5635369731607313,67,0.11435978693227024
2016,74,0.047716151543158766,0.290272748083823,0.5876358263068564,67,0.11578207789076535
2017,74,0.04881599281143388,0.30580862128962916,0.5854055595684131,67,0.11182064215375691
