focal_cusip,candidate_cusip,year,score_year,brokerage_block_value,block_size,T_fc,delta_log_sales_h2,delta_log_sales_h4,log_sales_t,log_assets_t,rd_intensity_t,P_annotated_value_synthetic,P_w_tenure_smooth,P_w_redundancy,P_dep_risk,P_candidate_degree_l2,P_candidate_degree_all,P_n_current_ties,P_n_hist_ties
02318N,92857W,2009,2008,1.0,4762,0,,,2.1007136769553756,,0.12031632460930146,0.023204535909281815,0.04745905081898362,0.023519529609407813,0.04493910121797564,0.9881352372952541,0.9904451910961781,0.9909701805963881,0.9820453590928181
086516,888706,2009,2008,1.0,4760,0,,,9.219795530746937,,,0.14432773109243696,0.10661764705882353,0.5341386554621849,,0.9362394957983193,0.967436974789916,0.969327731092437,0.9158613445378151
131193,288853,2009,2008,1.0,4760,0,,,5.143252936044421,,0.008485534373545897,0.6597689075630252,0.6495798319327731,0.5342436974789916,,0.9759453781512605,0.8846638655462185,0.8880252100840336,0.8789915966386554
191216,538034,2009,2008,1.0,4759,0,,,8.992681750892542,,,0.066505568396722,0.6494011346921622,0.049275057785249,0.01880647194788821,0.40386635847867197,0.6563353645723892,0.6587518386215592,0.5407648665686069
30303M,30413W,2009,2008,1.0,4731,0,,,,,,0.21485943775100402,0.18854364827731981,0.5333967448742338,,0.963009934474741,0.948002536461636,0.9497991967871486,0.8515113083914606
532457,585055,2009,2008,1.0,4749,0,0.18124859531762638,0.14511165673642168,8.542617243756396,,0.11613425581962158,0.07759528321751948,0.016529795746472942,0.5341124447252054,,0.8634449357759528,0.9633607075173721,0.9645188460728574,0.9664139818909244
589433,65248E,2009,2008,1.0,4760,0,,0.0301973248175198,5.846002263615494,,,0.07678571428571429,0.014285714285714285,0.5342436974789916,,0.9983193277310924,0.9972689075630252,0.9975840336134454,0.980672268907563
589433,887317,2009,2008,1.0,4760,0,,0.0301973248175198,5.846002263615494,,,0.004726890756302521,0.014285714285714285,0.003781512605042017,0.06470588235294118,0.9997899159663866,0.9992647058823529,0.9992647058823529,0.9764705882352941
589433,00748M,2009,2008,1.0,4760,0,,0.0301973248175198,5.846002263615494,,,0.08529411764705883,0.029621848739495797,0.5342436974789916,,0.4036764705882353,0.9372899159663866,0.939390756302521,0.9660714285714286
887317,00748M,2009,2008,1.0,4655,0,0.14876528260310273,0.018865415577167255,8.714567550836485,,,0.08098818474758325,0.02706766917293233,0.5324382384532761,,0.4080558539205156,0.9411385606874328,0.9432867883995704,0.9689581095596134
747525,02364W,2009,2008,1.0,4725,0,,0.7817005779013906,7.9208096792886,,0.0240734258935169,0.06634920634920635,0.6491005291005291,0.049206349206349205,0.01873015873015873,0.4048677248677249,0.7840211640211641,0.7863492063492064,0.7203174603174604
888706,086516,2009,2008,1.0,4741,0,,,4.053713521691194,,0.04948901335631194,0.015924910356464882,0.005905927019616114,0.04935667580679182,0.018772410883779792,0.4044505378612107,0.8482387681923644,0.8512971946846657,0.9008647964564438
288853,131193,2009,2008,1.0,4755,0,,,5.253497809076222,,,0.10399579390115668,0.05667718191377497,0.534279705573081,,0.4037854889589905,0.2858044164037855,0.2871713985278654,0.8372239747634069
538034,191216,2009,2008,1.0,4759,0,-0.5420728441069915,-0.6641455697236864,7.492530748114754,,,0.01250262660222736,0.008089934860264762,0.013238075225887791,0.05484345450724942,0.40386635847867197,0.9472578272746375,0.9490439167892414,0.985185963437697
918866,22404Q,2009,2008,1.0,4756,0,,,6.299066886994893,,,0.0221825063078217,0.03206476030277544,0.023549201009251473,0.044575273338940284,0.9838099243061396,0.980130361648444,0.9826534903280068,0.980130361648444
64110L,254687,2009,2008,1.0,4762,1,0.5511730191956898,0.9623128933844445,6.012513945881106,,0.04580966328993755,0.004934901301973961,0.016484670306593868,0.0037799244015119695,0.06467870642587148,0.999055018899622,0.9904451910961781,0.9909701805963881,0.994015119697606
451055,30589T,2009,2008,1.0,4750,0,,0.4504223692888263,3.9937688772784266,,,0.6596842105263158,0.6494736842105263,0.5342105263157895,,0.404,0.28578947368421054,0.2871578947368421,0.23336842105263159
589433,42232Q,2009,2008,1.0,4760,0,,0.0301973248175198,5.846002263615494,,,0.02153361344537815,0.024894957983193276,0.023529411764705882,0.04495798319327731,0.9362394957983193,0.967436974789916,0.969327731092437,0.9713235294117647
887317,42232Q,2009,2008,1.0,4655,0,0.14876528260310273,0.018865415577167255,8.714567550836485,,,0.019226638023630505,0.022663802363050482,0.021160042964554242,0.043716433941997854,0.9413533834586466,0.9703544575725027,0.9720730397422127,0.974328678839957
589433,44919P,2009,2008,1.0,4760,0,,0.0301973248175198,5.846002263615494,,,0.24096638655462185,0.21607142857142858,0.5342436974789916,,0.9838235294117647,0.9801470588235294,0.9826680672268907,0.9108193277310924
98975F,501902,2009,2008,1.0,4762,0,,,4.749599480180796,,0.04763323834781627,0.6598068038639228,0.6496220075598488,0.5342293154136917,,0.40371692566148676,0.2858042839143217,0.2871692566148677,0.23330533389332214
887317,589433,2009,2008,1.0,4655,0,0.14876528260310273,0.018865415577167255,8.714567550836485,,,0.11868958109559613,0.07873254564983888,0.5324382384532761,,0.4080558539205156,0.6620837808807734,0.6645542427497315,0.8650912996777659
040047,282579,2010,2009,1.0,3833,0,,1.6497685296399172,0.8997547632340556,,0.0872982754949968,0.13214192538481606,0.0851813201147926,0.5383511609705192,,0.9667362379337334,0.929819984346465,0.9322984607357161,0.9069919123402035
16938U,191216,2010,2009,1.0,3833,0,,,0.0,,,0.013957735455256979,0.006391860161753196,0.015001304461257501,0.06170101747978085,0.8698147665014349,0.9480824419514741,0.949908687711975,0.9833028959039917
23257D,80105N,2010,2009,1.0,3833,0,,,,,,0.030915731802765457,0.11114009913905556,0.027132794156013565,0.04956952778502478,0.9896947560657449,0.9826506652752414,0.9823897730237412,0.9017740673102009
26746E,82690I,2010,2009,1.0,3818,0,,,2.9981293981537123,,0.07862246240411279,0.05749083289680461,0.17011524358302776,0.05644316396018858,0.02029858564693557,0.4074122577265584,0.6682818229439497,0.6716867469879518,0.9118648507071765
452439,835699,2010,2009,1.0,3833,0,,,2.8601416192476425,,,0.004304722149752152,0.016305765718758154,0.0030002608922515,0.07370206104878685,0.997912861987999,0.9933472475867466,0.9942603704669971,0.9976519697364988
717081,Y0905C,2010,2009,1.0,3802,0,-0.2270731322077495,-0.18142377474709548,9.696155832738006,,0.012432901438257607,0.03734876380852183,0.6541294055760126,0.0266964755391899,0.04905312993161494,0.4087322461862178,0.8559968437664387,0.8591530773277223,0.7861651762230405
78440P,254687,2010,2009,1.0,3833,0,0.2738406514761875,0.514418169054772,7.8891522458138725,,0.0031721149158305383,0.005870075658752935,0.017610226976258806,0.004304722149752152,0.0723975997912862,0.9984346464909992,0.9872162796764936,0.9885207409339942,0.9930863553352466
V7780T,26153C,2010,2009,1.0,3833,0,,0.28726617471724225,7.303607665907242,,,0.04630837464127315,0.0453952517610227,0.05635272632402818,0.020349595617010174,0.9863031567962431,0.929819984346465,0.9322984607357161,0.8077224106444039
87151H,46078C,2010,2009,1.0,3831,0,,,0.0,,,0.6666666666666666,0.6555729574523623,0.538371182458888,,0.406943356825894,0.2913077525450274,0.293265465935787,0.754502740798747
532457,52750P,2010,2009,1.0,3822,0,-0.03378551495439197,-0.09945284146433941,8.664664470774445,,0.04418706997237074,0.6666666666666666,0.6555468341182626,0.5381998953427525,,0.40724751439037155,0.2913396127681842,0.293301936159079,0.22998430141287285
031162,046353,2011,2010,1.0,2886,1,0.12261694985240723,,8.279950715722526,,0.017230884487521657,0.022695772695772696,0.09511434511434512,0.017844767844767843,0.07016632016632017,0.988911988911989,0.9825017325017324,0.9826749826749827,0.9268884268884269
097023,826197,2011,2010,1.0,2889,0,0.22184525303131153,0.3253377801680237,9.782844180013784,,0.012148915227269663,0.009172724125995154,0.021633783316026306,0.00778816199376947,0.08047767393561786,0.9724818276220145,0.9949809622706819,0.995846313603323,0.9960193838698511
26153C,796050,2011,2010,1.0,2867,0,-0.3449764910791995,,5.385487689238462,,0.0005254807060540374,0.013079874433205442,0.0266829438437391,0.011510289501220789,0.07638646668991977,0.8889082664806418,0.9780258109522149,0.9795953958841995,0.9865713289152425
399473,538034,2011,2010,1.0,2896,0,,,5.4547803708911635,,,0.06405386740331492,0.1400207182320442,0.06629834254143646,0.02244475138121547,0.8863950276243094,0.8145718232044199,0.8175069060773481,0.645200276243094
45253H,532457,2011,2010,1.0,2896,0,,,0.9305880365749795,,0.08619113629058181,0.007769337016574586,0.049896408839779006,0.005697513812154696,0.08304558011049724,0.9830801104972375,0.9715124309392266,0.9728936464088398,0.988950276243094
80918C,98156Q,2011,2010,1.0,2896,0,,,2.4734243126789663,,,0.12241022099447514,0.06336325966850828,0.544371546961326,,0.8863950276243094,0.8145718232044199,0.8175069060773481,0.8413328729281768
925602,J03393,2011,2010,1.0,2894,0,,,0.0,,0.07422625870734503,0.07515549412577748,0.2646855563234278,0.0663441603317208,0.022460262612301312,0.8863165169315825,0.9220801658604009,0.901520387007602,0.7479267449896337
23243T,052666,2011,2010,1.0,2896,0,,,,,,0.6716160220994475,0.6598756906077348,0.544371546961326,,0.41816298342541436,0.30334944751381215,0.30455801104972374,0.7477555248618785
826197,097023,2011,2010,1.0,2883,0,0.06064997631487046,,10.101845830967134,,0.009324016426557903,0.01023239680887964,0.05532431494970517,0.007804370447450572,0.080298300381547,0.8872702046479362,0.9750260145681582,0.9734651404786681,0.9849115504682622
92343V,124857,2011,2010,1.0,2894,0,,,10.22324951845132,,,0.02159640635798203,0.0359364201796821,0.01883206634416033,0.06962681409813407,0.9991361437456807,0.9960262612301313,0.9972356599861782,0.9580165860400829
M25722,25582R,2011,2010,1.0,2896,0,,,0.0,,0.07405069948459031,0.6716160220994475,0.6598756906077348,0.544371546961326,,0.41816298342541436,0.30334944751381215,0.30455801104972374,0.23187154696132597
63228P,277461,2011,2010,1.0,2896,0,0.0,,0.0,,0.006281322654933419,0.09444060773480663,0.012603591160220995,0.544371546961326,,0.9722030386740331,0.9383632596685083,0.9404350828729282,0.9936118784530387
740294,46120E,2011,2010,1.0,2896,0,,,0.0,,0.1674087266251113,0.16591850828729282,0.11757596685082873,0.544371546961326,,0.41816298342541436,0.6921616022099447,0.6949240331491713,0.8413328729281768
780259,48242W,2011,2010,1.0,2896,0,-0.04929395669840808,-0.5901827180944608,11.705700526334255,,0.0007097575992520466,0.6716160220994475,0.6598756906077348,0.544371546961326,,0.41816298342541436,0.6921616022099447,0.6949240331491713,0.536774861878453
G3727Q,750917,2011,2010,1.0,2896,0,,,7.0630481633881725,,0.05246086083227017,0.05404005524861878,0.0417817679558011,0.06629834254143646,0.02244475138121547,0.9722030386740331,0.868957182320442,0.8717196132596685,0.9257596685082873
