year,coverage_class,n_rows,share_of_year
2009,candidate_genuine_new_L2_entrant,25,0.12886597938144329
2009,candidate_in_pool,22,0.1134020618556701
2009,candidate_prior_L2_excluded_by_pool,2,0.010309278350515464
2009,candidate_prior_SDC_no_L2,5,0.02577319587628866
2009,candidate_prior_nonL2_same_focal,1,0.005154639175257732
2009,focal_not_compustat,139,0.7164948453608248
2009,TOTAL,194,1.0
2010,candidate_genuine_new_L2_entrant,15,0.13157894736842105
2010,candidate_in_pool,10,0.08771929824561403
2010,candidate_prior_L2_excluded_by_pool,5,0.043859649122807015
2010,candidate_prior_SDC_no_L2,3,0.02631578947368421
2010,candidate_prior_nonL2_same_focal,0,0.0
2010,focal_not_compustat,81,0.7105263157894737
2010,TOTAL,114,1.0
2011,candidate_genuine_new_L2_entrant,36,0.1487603305785124
2011,candidate_in_pool,16,0.06611570247933884
2011,candidate_prior_L2_excluded_by_pool,7,0.028925619834710745
2011,candidate_prior_SDC_no_L2,14,0.05785123966942149
2011,candidate_prior_nonL2_same_focal,0,0.0
2011,focal_not_compustat,169,0.6983471074380165
2011,TOTAL,242,1.0
2012,candidate_genuine_new_L2_entrant,36,0.10975609756097561
2012,candidate_in_pool,25,0.07621951219512195
2012,candidate_prior_L2_excluded_by_pool,11,0.03353658536585366
2012,candidate_prior_SDC_no_L2,9,0.027439024390243903
2012,candidate_prior_nonL2_same_focal,0,0.0
2012,focal_not_compustat,247,0.7530487804878049
2012,TOTAL,328,1.0
2013,candidate_genuine_new_L2_entrant,51,0.13212435233160622
2013,candidate_in_pool,20,0.05181347150259067
2013,candidate_prior_L2_excluded_by_pool,23,0.05958549222797927
2013,candidate_prior_SDC_no_L2,18,0.046632124352331605
2013,candidate_prior_nonL2_same_focal,1,0.0025906735751295338
2013,focal_not_compustat,273,0.7072538860103627
2013,TOTAL,386,1.0
2014,candidate_genuine_new_L2_entrant,43,0.11497326203208556
2014,candidate_in_pool,27,0.07219251336898395
2014,candidate_prior_L2_excluded_by_pool,14,0.0374331550802139
2014,candidate_prior_SDC_no_L2,14,0.0374331550802139
2014,candidate_prior_nonL2_same_focal,2,0.0053475935828877
2014,focal_not_compustat,274,0.732620320855615
2014,TOTAL,374,1.0
