annotation,horizon,n_focal_years,beta,ci_lo_95,ci_hi_95,sign,excludes_0
annotated_value_synthetic,2,43,0.14977586734831705,-0.29868877080295614,0.5771558438499663,+,False
w_tenure_smooth,2,43,0.10511706065813198,-0.3483394756955909,0.5572370305414542,+,False
w_redundancy,2,43,0.15655145925301195,-0.32138382800445314,0.5886371860869932,+,False
dep_risk,2,32,-0.3876243997419283,-4.9180065090142016,2.4144698076208266,-,False
candidate_degree_l2,2,43,0.09288219979841955,-0.4449735504776098,0.5425680568077599,+,False
candidate_degree_all,2,43,-0.1999997558110377,-0.8147402420002906,0.24878388589572167,-,False
n_current_ties,2,43,-0.1991645817682524,-0.8116694343957942,0.2544558938556552,-,False
n_hist_ties,2,43,-0.35361299570140575,-0.8856600735308542,0.0828977439781839,-,False
annotated_value_synthetic,4,35,0.10795689645873324,-0.6156698640323768,1.301723725516139,+,False
w_tenure_smooth,4,35,0.07651334842595058,-0.6068327529890448,1.0197679093973615,+,False
w_redundancy,4,35,0.5445140030809525,-0.3070101045188545,1.6290412789232949,+,False
dep_risk,4,22,7.543761107260167,-6.21842557348101,12.374038091312395,+,False
candidate_degree_l2,4,35,0.8150543295829895,-0.18394618912135965,1.6609800516122004,+,False
candidate_degree_all,4,35,0.1577843869331195,-1.496034063349701,0.7965675625286479,+,False
n_current_ties,4,35,0.15578064039862513,-1.494407875177118,0.792614718579838,+,False
n_hist_ties,4,35,0.0058119533560461525,-1.2329368425535001,0.6851463697797119,+,False
