,global_degree_all,global_degree_l2,n_current_ties,w_tenure_only,brokerage_only,brokerage_x_tenure,raw_score,blend_000,blend_025,blend_050,blend_075,blend_100,resid_rank
global_degree_all,1.0,0.17631631724286878,0.9998331068354671,0.0526039725592502,0.0023012991872986073,0.052541858185984225,0.0,0.17636954524610327,0.0,0.0,0.0,0.0,0.17636954524610327
global_degree_l2,0.17631631724286878,1.0,0.17631631724286878,0.0,0.002294397590269055,0.0,0.0,0.052603972559250194,0.0,0.0,0.0,0.0,0.052603972559250194
n_current_ties,0.9998331068354671,0.17631631724286878,1.0,0.0526039725592502,0.0023012991872986073,0.052541858185984225,0.0,0.17636954524610327,0.0,0.0,0.0,0.0,0.17636954524610327
w_tenure_only,0.0526039725592502,0.0,0.0526039725592502,1.0,0.0022039099847704757,0.9997854230741721,0.5385960311216015,0.05270059491766394,0.17654772373150673,0.17654772373150673,0.17668785321629304,0.5385960311216015,0.05270059491766394
brokerage_only,0.0023012991872986073,0.002294397590269055,0.0023012991872986073,0.0022039099847704757,1.0,0.0022039099847704757,0.002404823142741897,0.0022667912021508444,0.0021893399465969755,0.0021962415436265286,0.0022575890727781073,0.002404823142741897,0.0022667912021508444
brokerage_x_tenure,0.052541858185984225,0.0,0.052541858185984225,0.9997854230741721,0.0022039099847704757,1.0,0.5387473353641725,0.05276961088795946,0.17663450116474597,0.17663450116474597,0.17677463064953225,0.5387473353641725,0.05276961088795946
raw_score,0.0,0.0,0.0,0.5385960311216015,0.002404823142741897,0.5387473353641725,1.0,0.05263157894736841,0.22588551549652117,0.22588551549652117,0.22603078734772167,1.0,0.05263157894736841
blend_000,0.17636954524610327,0.052603972559250194,0.17636954524610327,0.05270059491766394,0.0022667912021508444,0.05276961088795946,0.05263157894736841,1.0,0.5382597994714438,0.5382597994714438,0.42842156532164405,0.05263157894736841,1.0
blend_025,0.0,0.0,0.0,0.17654772373150673,0.0021893399465969755,0.17663450116474597,0.22588551549652117,0.5382597994714438,1.0,0.9996423717902869,0.8179235311414699,0.22588551549652117,0.5382597994714438
blend_050,0.0,0.0,0.0,0.17654772373150673,0.0021962415436265286,0.17663450116474597,0.22588551549652117,0.5382597994714438,0.9996423717902869,1.0,0.8182295019431133,0.22588551549652117,0.5382597994714438
blend_075,0.0,0.0,0.0,0.17668785321629304,0.0022575890727781073,0.17677463064953225,0.22603078734772167,0.42842156532164405,0.8179235311414699,0.8182295019431133,1.0,0.22603078734772167,0.42842156532164405
blend_100,0.0,0.0,0.0,0.5385960311216015,0.002404823142741897,0.5387473353641725,1.0,0.05263157894736841,0.22588551549652117,0.22588551549652117,0.22603078734772167,1.0,0.05263157894736841
resid_rank,0.17636954524610327,0.052603972559250194,0.17636954524610327,0.05270059491766394,0.0022667912021508444,0.05276961088795946,0.05263157894736841,1.0,0.5382597994714438,0.5382597994714438,0.42842156532164405,0.05263157894736841,1.0
