ranker,top_k,hit_rate,n_realized_in_topk,mean_rank,median_rank_pct
brokerage_only,5,0.9375,15,181.6875,0.0003453038674033149
brokerage_only,10,0.9375,15,181.6875,0.0003453038674033149
brokerage_only,20,0.9375,15,181.6875,0.0003453038674033149
brokerage_only,50,0.9375,15,181.6875,0.0003453038674033149
brokerage_only,100,0.9375,15,181.6875,0.0003453038674033149
raw_score,5,0.0,0,2232.75,0.9411256906077348
raw_score,10,0.0,0,2232.75,0.9411256906077348
raw_score,20,0.1875,3,2232.75,0.9411256906077348
raw_score,50,0.1875,3,2232.75,0.9411256906077348
raw_score,100,0.1875,3,2232.75,0.9411256906077348
durable_value,5,0.0,0,2183.375,0.9406654450923748
durable_value,10,0.0,0,2183.375,0.9406654450923748
durable_value,20,0.1875,3,2183.375,0.9406654450923748
durable_value,50,0.1875,3,2183.375,0.9406654450923748
durable_value,100,0.1875,3,2183.375,0.9406654450923748
w_tenure_only,5,0.0,0,2155.625,0.9203078103194479
w_tenure_only,10,0.0,0,2155.625,0.9203078103194479
w_tenure_only,20,0.1875,3,2155.625,0.9203078103194479
w_tenure_only,50,0.1875,3,2155.625,0.9203078103194479
w_tenure_only,100,0.1875,3,2155.625,0.9203078103194479
n_current_ties,5,0.0,0,376.0625,0.09878673536789775
n_current_ties,10,0.0625,1,376.0625,0.09878673536789775
n_current_ties,20,0.125,2,376.0625,0.09878673536789775
n_current_ties,50,0.1875,3,376.0625,0.09878673536789775
n_current_ties,100,0.375,6,376.0625,0.09878673536789775
candidate_degree_l2,5,0.0625,1,203.875,0.06328017243866826
candidate_degree_l2,10,0.0625,1,203.875,0.06328017243866826
candidate_degree_l2,20,0.0625,1,203.875,0.06328017243866826
candidate_degree_l2,50,0.1875,3,203.875,0.06328017243866826
candidate_degree_l2,100,0.375,6,203.875,0.06328017243866826
candidate_degree_all,5,0.0,0,378.0,0.09083830329086279
candidate_degree_all,10,0.0,0,378.0,0.09083830329086279
candidate_degree_all,20,0.125,2,378.0,0.09083830329086279
candidate_degree_all,50,0.1875,3,378.0,0.09083830329086279
candidate_degree_all,100,0.375,6,378.0,0.09083830329086279
